concept,source,n_words,zipf_head,zipf_min,conc,aoa,wn_senses,wn_depth,ev_frac_llama8b,val_r_llama8b,ev_frac_falcon3b,val_r_falcon3b
actuary,personalities,1,2.5,2.5,,17.27,1,9.0,0.7231991670785411,0.9956602358048962,0.6367870413121723,0.9893184417770022
aesthetician,personalities,1,1.66,1.66,3.31,,2,10.0,0.7029194968842691,0.9961607859980676,0.5517661592790059,0.9900116494723729
algebraic geometer,personalities,2,1.63,1.63,3.71,,1,9.0,0.6858471377241996,0.9961998981814231,0.6624648833558673,0.991424214272272
algebraic topologist,personalities,2,0.0,0.0,3.67,,0,,0.6488702165022973,0.9960255026817322,0.6733377086264747,0.9908560514450073
algebraist,personalities,1,1.05,1.05,,,1,9.0,0.6858111562267426,0.9956002235412598,0.6569153801316306,0.9899389374823797
algorithm designer,personalities,2,4.42,4.02,3.78,9.05,5,9.0,0.6902020953355297,0.9948543906211853,0.6721382460423878,0.990349911508106
algorithmic game theorist,personalities,3,3.16,2.77,2.54,11.84,1,8.0,0.677013952405222,0.9955279461799129,0.6811477683839344,0.9909101355643499
anthropologist,personalities,1,3.16,3.16,4.0,12.56,1,9.0,0.7284297294193699,0.9962673725620392,0.696843642564047,0.9901995176360721
archaeologist,personalities,1,3.12,3.12,4.45,9.68,1,10.0,0.7492355127488414,0.9962582703559629,0.6876937789576394,0.9894832826796032
artificial intelligence researcher,personalities,3,3.92,3.92,3.81,10.22,1,8.0,0.6986339611391867,0.9950688308285128,0.618657091543788,0.9901054019019717
astrophysicist,personalities,1,2.62,2.62,4.07,13.06,1,10.0,0.7148269102458031,0.9959252611283334,0.6138759858551479,0.9912617547171456
bayesian statistician,personalities,2,2.87,2.87,3.88,12.65,2,9.0,0.67041818917759,0.9960690659861411,0.6786618488175529,0.9920090153103783
behavioral economist,personalities,2,3.87,3.86,3.25,12.32,1,9.0,0.6495494698324511,0.9958696596084102,0.7131555037839072,0.990122758206867
behavioral scientist,personalities,2,4.21,3.86,4.24,6.89,1,7.0,0.6572039588805167,0.9957490755665687,0.6046748047783261,0.9901366915021624
bioinformatician,personalities,1,1.12,1.12,,,0,,0.7277261268708014,0.9954219845033461,0.5401026954253515,0.9919069835117885
biostatistician,personalities,1,1.56,1.56,,,0,,0.694767405429194,0.995325663397389,0.6379558990399042,0.9909639869417463
category theorist,personalities,2,3.16,3.16,2.54,11.84,1,8.0,0.6748553423150894,0.9963551894310982,0.6531327423595247,0.9902866596267337
classical philologist,personalities,2,2.09,2.09,,14.5,1,10.0,0.693537212908268,0.9969557427590893,0.5897800922393799,0.9913914288793292
climate scientist,personalities,2,4.21,4.21,4.24,6.89,1,7.0,0.7038382887840271,0.9941426573261138,0.6556840638319651,0.9910944104194641
cognitive neuroscientist,personalities,2,2.7,2.7,4.0,14.11,1,10.0,0.6962373261490176,0.9960668433097101,0.6391899152880623,0.9912367179280236
cognitive scientist,personalities,2,4.21,4.11,4.24,6.89,1,7.0,0.7083150191653159,0.9955798772073561,0.6292864878972372,0.9902836822328114
combinatorial optimization researcher,personalities,3,3.92,2.66,3.81,10.22,1,8.0,0.6882964125083338,0.9956284646065005,0.7630781148161206,0.9921020950589862
comparative literature scholar,personalities,3,3.96,3.77,3.5,10.37,3,9.0,0.7300001925999119,0.9967851561884726,0.669283382949375,0.9907137666429792
complex systems scientist,personalities,3,4.21,4.21,4.24,6.89,1,7.0,0.7002839109589977,0.9957554859499778,0.6385636173543476,0.9904167708896455
complexity theorist,personalities,2,3.16,3.16,2.54,11.84,1,8.0,0.6811644737758944,0.9959819278409404,0.6430597205956777,0.990818685009366
computational biologist,personalities,2,3.35,3.35,3.96,10.9,1,8.0,0.745907288405203,0.995694596921244,0.7116222147430692,0.9907083482969374
computational linguist,personalities,2,2.87,2.87,3.72,13.82,2,8.0,0.643783817368169,0.9958963509528868,0.6421182183992296,0.9916701061385018
computational neuroscientist,personalities,2,2.7,2.7,4.0,14.11,1,10.0,0.7330331350526502,0.9956337617289636,0.6746922844932193,0.9914058361734662
condensed matter physicist,personalities,3,3.42,3.4,4.26,12.9,1,8.0,0.7288867763934597,0.9963597866796678,0.7049248261111123,0.9917146932511103
control theorist,personalities,2,3.16,3.16,2.54,11.84,1,8.0,0.6726144081161868,0.9960056024212991,0.6512736550399235,0.9897779680433727
cosmologist,personalities,1,1.9,1.9,4.18,12.41,1,10.0,0.7221585877480046,0.9956855293243162,0.5964587472733998,0.9899416338829767
cryptographer,personalities,1,1.89,1.89,3.61,14.73,1,9.0,0.6777301560486516,0.9955945399499708,0.66805471267019,0.9893916703405834
cybersecurity specialist,personalities,2,4.28,3.35,3.0,10.05,2,12.0,0.5656428053494422,0.9944636706382998,0.6562797540710086,0.9899149253254845
data scientist,personalities,2,4.21,4.21,4.24,6.89,1,7.0,0.6603473804650768,0.9945293068885803,0.6341322937182018,0.9896236856778463
demographer,personalities,1,1.98,1.98,3.13,,1,10.0,0.7065413315449992,0.9951612103369928,0.662224238827115,0.9896951289404006
developmental psychologist,personalities,2,3.8,3.78,4.33,11.77,1,8.0,0.7236446872834237,0.9962551613007823,0.6178698724224454,0.9909847066515968
differential geometer,personalities,2,1.63,1.63,3.71,,1,9.0,0.7143297906844847,0.9965028724362773,0.6246416859683537,0.9909058667364574
dynamical systems theorist,personalities,3,3.16,2.91,2.54,11.84,1,8.0,0.7082193815900434,0.9956177607659371,0.6443826854228973,0.9915658178783598
ecologist,personalities,1,2.67,2.67,3.68,12.65,1,9.0,0.7489194422960281,0.995612254065852,0.6487330836909158,0.989859626406715
economic historian,personalities,2,3.9,3.9,3.9,11.58,1,9.0,0.6986029960455433,0.9953854410879074,0.7051824274517241,0.9901610329037621
epidemiologist,personalities,1,2.49,2.49,3.58,15.6,1,9.0,0.7171967572742893,0.9958565023637587,0.6259795966602507,0.9907106984229315
epigeneticist,personalities,1,0.0,0.0,,,0,,0.7247016790413088,0.9959712547640647,0.6154789002168746,0.9909476183709645
