concept,source,n_words,zipf_head,zipf_min,conc,aoa,wn_senses,wn_depth,ev_frac_llama8b,val_r_llama8b,ev_frac_falcon3b,val_r_falcon3b,zipf_bin,conc_bin
matter-of-factly humorous,moods,2,3.6,2.34,2.23,8.56,1,,0.6284726415911028,0.9971490829221664,0.40044855645724703,0.9914651938847133,rare,abstract
pedantic,moods,1,2.66,2.66,2.08,13.54,1,,0.6328421917653853,0.996105182555414,0.6149379724547976,0.9885638526507786,rare,abstract
wistful,moods,1,2.71,2.71,2.07,11.53,1,,0.5828023461564895,0.9959868250354644,0.6532729857024693,0.9877614208630153,rare,abstract
boastful,moods,1,2.5,2.5,2.48,9.0,1,,0.6911491083521997,0.9962195811733123,0.6457102625142961,0.9888673595019749,rare,abstract
mournful,moods,1,2.73,2.73,2.1,9.94,2,,0.5916585167569499,0.9960130049336341,0.6003303400107792,0.9888566874322438,rare,abstract
melodramatic,moods,1,2.94,2.94,2.08,10.89,2,,0.6253581152808282,0.996442275662576,0.6248329813991275,0.9887800699188596,rare,abstract
reverent,moods,1,2.46,2.46,1.5,11.5,2,,0.646858292721933,0.9959243459086264,0.5994057286353338,0.9872076993896848,rare,abstract
vindictive,moods,1,2.98,2.98,2.19,14.17,2,,0.6255140299758604,0.9963126663238772,0.6280419805220195,0.9858161636761257,rare,abstract
introspective,moods,1,2.9,2.9,1.52,13.57,1,,0.5939611557029909,0.9958951242508427,0.5080535936923254,0.9874929388364156,rare,abstract
warmhearted,moods,1,1.81,1.81,1.9,9.44,1,,0.6689098962853032,0.9959925874587028,0.6216734789666676,0.9866789863223121,rare,abstract
Cornel West,personas,2,5.29,2.35,3.44,5.89,10,11.0,,,,,rare,mid
jovial,moods,1,2.74,2.74,2.81,11.33,1,,0.6336854239625316,0.995849605529539,0.5744308133920034,0.9883290245419457,rare,mid
metaphysician,personalities,1,1.67,1.67,3.42,15.45,0,,0.6718466353993262,0.9961924745190528,0.5082708455267406,0.9903136491775513,rare,mid
lethargic,moods,1,2.78,2.78,2.61,12.11,1,,0.6470016957290711,0.99621965231434,0.5982972156433832,0.9870518587884449,rare,mid
homotopy theorist,personalities,2,3.16,2.18,2.54,11.84,1,8.0,0.6688579811203864,0.9962010537424395,0.616997684041659,0.991805442741939,rare,mid
sarcastically playful,moods,2,3.53,2.94,2.63,6.22,1,,0.6368083155924275,0.9968607464144307,0.5930780959980828,0.9896037720498585,rare,mid
acquirer,wordnet_noun,1,2.33,2.33,2.52,11.79,4,8.0,,,,,rare,mid
ramble,wordnet_noun,1,2.85,2.85,2.54,10.6,3,11.0,,,,,rare,mid
argon,wordnet_noun,1,2.86,2.86,3.2,15.19,1,7.0,,,,,rare,mid
seafaring,wordnet_noun,1,2.6,2.6,3.04,11.5,3,9.0,,,,,rare,mid
bayesian statistician,personalities,2,2.87,2.87,3.88,12.65,2,9.0,0.67041818917759,0.9960690659861411,0.6786618488175529,0.9920090153103783,rare,concrete
cryptographer,personalities,1,1.89,1.89,3.61,14.73,1,9.0,0.6777301560486516,0.9955945399499708,0.66805471267019,0.9893916703405834,rare,concrete
epidemiologist,personalities,1,2.49,2.49,3.58,15.6,1,9.0,0.7171967572742893,0.9958565023637587,0.6259795966602507,0.9907106984229315,rare,concrete
