concept,supersense,zipf,conc,aoa,polysemy,n_tokens
bribery,noun.act,3.4,2.89,10.65,1,1
stifle,noun.animal,3.0,2.59,10.26,1,2
skillet,noun.artifact,3.08,4.73,8.2,1,1
invisibility,noun.attribute,2.95,2.27,8.4,1,2
tunic,noun.body,3.08,3.75,11.42,2,2
atheism,noun.cognition,3.45,2.23,12.69,2,2
concession,noun.communication,3.57,2.71,9.33,3,1
wildfire,noun.event,3.36,4.59,9.56,1,1
propensity,noun.feeling,3.16,1.89,15.56,3,1
brie,noun.food,3.08,4.28,12.69,1,2
convoy,noun.group,3.71,3.54,12.28,3,1
playground,noun.location,3.79,4.77,4.28,2,1
cosmos,noun.object,3.51,3.19,10.65,2,1
warlock,noun.person,2.99,3.9,9.68,1,2
thunderbolt,noun.phenomenon,3.09,4.28,6.65,2,2
truffle,noun.plant,3.06,4.6,13.62,3,2
salvage,noun.possession,3.65,3.21,10.11,3,1
digestion,noun.process,3.31,3.66,10.26,3,1
quota,noun.quantity,3.53,2.89,12.64,3,1
paradigm,noun.relation,3.61,1.73,16.6,4,1
taper,noun.shape,3.3,3.56,10.7,4,1
seniority,noun.state,3.16,2.34,12.75,2,2
fluff,noun.substance,3.2,3.8,4.85,3,2
eternity,noun.time,3.8,1.46,8.6,3,1
