concept,supersense,zipf,conc,aoa,polysemy,n_tokens
infliction,noun.act,2.37,2.12,12.0,3,2
redeye,noun.act,2.27,3.77,10.38,1,2
downshift,noun.act,1.97,3.3,12.74,2,2
acupressure,noun.act,2.03,3.53,14.44,1,4
beautification,noun.act,2.52,2.22,11.2,1,2
overuse,noun.act,3.02,2.24,9.17,1,2
reprisal,noun.act,2.87,2.16,13.89,1,3
repurchase,noun.act,2.94,2.96,10.5,1,2
industrialization,noun.act,3.07,2.12,11.45,1,2
decompression,noun.act,2.93,3.07,14.24,2,2
bribery,noun.act,3.4,2.89,10.65,1,1
makeover,noun.act,3.47,3.64,10.53,2,1
infiltration,noun.act,3.24,2.23,13.06,2,1
sexism,noun.act,3.52,1.61,13.63,1,1
fumble,noun.act,3.36,3.47,8.06,1,2
founding,noun.act,3.99,2.3,10.42,1,1
massage,noun.act,4.01,4.18,10.9,1,1
gala,noun.act,3.67,3.89,14.06,1,1
bombing,noun.act,4.09,3.93,7.74,2,1
inauguration,noun.act,3.57,3.5,11.22,2,1
assist,noun.act,4.42,2.52,8.75,2,1
golf,noun.act,4.56,4.52,7.16,1,1
introduction,noun.act,4.52,3.0,8.0,7,1
lift,noun.act,4.5,3.89,4.74,12,1
slip,noun.act,4.28,4.1,6.17,15,1
chickadee,noun.animal,2.22,4.52,9.79,1,3
bottlenose,noun.animal,2.37,4.32,10.47,2,3
lionfish,noun.animal,2.21,4.55,10.94,1,2
stegosaurus,noun.animal,2.12,4.8,8.95,1,4
foxhound,noun.animal,1.84,4.48,9.33,1,2
strep,noun.animal,2.73,3.46,10.72,1,2
grubby,noun.animal,2.78,3.04,10.78,1,2
tapeworm,noun.animal,2.52,4.93,11.11,1,3
bobcat,noun.animal,2.8,4.93,7.06,1,2
platypus,noun.animal,2.69,4.83,7.71,1,3
stifle,noun.animal,3.0,2.59,10.26,1,2
hummingbird,noun.animal,2.96,4.96,6.95,1,2
humankind,noun.animal,3.11,3.33,7.81,1,2
rattlesnake,noun.animal,2.87,5.0,6.78,1,4
rump,noun.animal,3.05,4.81,8.95,3,2
spawn,noun.animal,3.38,3.9,11.25,1,1
pigeon,noun.animal,3.61,4.71,6.21,1,1
horseback,noun.animal,3.39,4.41,7.0,2,2
parasite,noun.animal,3.51,4.34,9.94,2,1
newt,noun.animal,3.23,4.17,7.56,1,2
wolf,noun.animal,4.35,4.79,4.5,5,1
rat,noun.animal,4.17,4.85,5.11,5,1
duck,noun.animal,4.21,4.86,3.5,4,1
goose,noun.animal,3.84,4.81,5.15,3,1
frog,noun.animal,3.89,5.0,4.32,3,1
subcompact,noun.artifact,2.3,2.92,15.06,1,2
dogsled,noun.artifact,1.73,4.89,7.71,1,2
flatware,noun.artifact,2.19,4.52,12.5,2,2
strongbox,noun.artifact,1.8,4.79,12.22,1,2
highroad,noun.artifact,1.66,2.59,11.59,1,2
sprocket,noun.artifact,2.59,4.58,12.94,3,3
manhole,noun.artifact,2.75,4.7,6.83,1,2
bookcase,noun.artifact,2.78,4.93,5.63,1,2
latrine,noun.artifact,2.51,4.62,12.27,1,2
flail,noun.artifact,2.55,3.79,12.19,1,2
hologram,noun.artifact,3.11,4.35,10.84,1,2
amulet,noun.artifact,2.99,4.0,11.53,1,2
chainsaw,noun.artifact,3.2,4.9,7.0,1,2
satchel,noun.artifact,2.9,4.73,12.35,1,3
skillet,noun.artifact,3.08,4.73,8.2,1,1
scenery,noun.artifact,3.68,3.38,9.7,2,1
consulate,noun.artifact,3.56,3.6,14.33,1,1
headphone,noun.artifact,3.3,4.93,10.16,1,1
traverse,noun.artifact,3.4,2.88,14.67,4,1
implant,noun.artifact,3.48,4.31,13.0,1,1
hotel,noun.artifact,4.95,4.93,6.05,1,1
mill,noun.artifact,4.38,4.72,8.17,5,1
lab,noun.artifact,4.42,4.69,8.71,1,1
computer,noun.artifact,4.97,4.93,9.7,2,1
fabric,noun.artifact,4.08,4.63,6.68,2,1
permissiveness,noun.attribute,1.91,1.81,12.53,1,3
whimsicality,noun.attribute,1.09,1.63,12.69,2,3
proneness,noun.attribute,1.68,1.89,11.6,1,2
blondness,noun.attribute,1.16,3.07,10.41,1,2
candlepower,noun.attribute,1.45,3.6,8.62,1,2
newness,noun.attribute,2.6,1.79,7.2,1,2
sinfulness,noun.attribute,2.11,1.43,9.280276,1,2
nearness,noun.attribute,2.24,2.58,7.35,1,2
fierceness,noun.attribute,2.22,2.11,11.11,1,2
bluntness,noun.attribute,2.26,2.11,11.06,2,4
temperance,noun.attribute,3.15,2.1,13.74,3,2
altruism,noun.attribute,2.94,1.5,15.79,1,2
inertia,noun.attribute,3.17,2.43,12.84,2,1
wingspan,noun.attribute,2.81,4.0,9.61,1,2
invisibility,noun.attribute,2.95,2.27,8.4,1,2
vitality,noun.attribute,3.41,1.78,12.94,4,1
topography,noun.attribute,3.28,3.64,13.41,2,2
wavelength,noun.attribute,3.45,3.35,12.03,2,1
brilliance,noun.attribute,3.39,2.39,10.5,3,1
hush,noun.attribute,3.47,3.04,4.441998,1,2
aid,noun.attribute,4.75,3.1,7.33,4,1
ring,noun.attribute,4.81,4.81,4.53,9,1
wrong,noun.attribute,5.39,1.83,4.22,2,1
control,noun.attribute,5.4,1.93,7.26,11,1
length,noun.attribute,4.77,4.07,6.05,5,1
teat,noun.body,2.5,4.38,11.94,1,2
innards,noun.body,2.54,3.96,9.89,1,2
cheekbone,noun.body,2.33,4.71,7.17,1,2
noggin,noun.body,2.54,4.19,6.11,1,2
pecker,noun.body,2.52,4.23,9.0,3,2
tibia,noun.body,2.9,4.48,12.12,1,2
tiptoe,noun.body,2.64,3.89,5.65,1,3
testicle,noun.body,2.83,4.59,11.6,1,2
thatch,noun.body,2.71,3.83,10.72,4,2
pectoral,noun.body,2.91,4.0,12.89,2,3
biceps,noun.body,3.06,4.93,9.42,1,2
tunic,noun.body,3.08,3.75,11.42,2,2
eyelid,noun.body,3.01,5.0,6.33,1,2
pancreas,noun.body,3.14,4.79,12.84,1,2
pelvis,noun.body,3.26,4.93,9.95,2,2
socket,noun.body,3.52,4.32,8.06,3,1
plaque,noun.body,3.69,4.7,7.39,2,1
plasma,noun.body,3.95,4.17,13.05,3,1
jaw,noun.body,3.98,4.87,5.33,3,1
nucleus,noun.body,3.59,3.48,11.4,6,1
sweat,noun.body,4.14,4.71,7.26,4,1
beard,noun.body,4.07,4.96,4.84,5,1
permanent,noun.body,4.57,2.76,7.75,1,1
quick,noun.body,4.98,2.89,5.89,1,1
arm,noun.body,4.73,4.96,3.26,6,1
fairyland,noun.cognition,2.39,2.93,8.22,2,2
shrewdness,noun.cognition,1.99,1.64,11.82,1,4
proctology,noun.cognition,1.48,3.28,16.82,1,3
unconventionality,noun.cognition,1.27,1.39,13.22,2,3
overconfidence,noun.cognition,2.35,1.81,10.47,1,2
metaphysics,noun.cognition,3.08,2.0,14.88,1,2
dermatology,noun.cognition,2.93,2.92,12.3,1,2
pyrotechnics,noun.cognition,2.6,4.0,14.62,3,4
counterterrorism,noun.cognition,2.85,2.07,16.5,1,2
fanaticism,noun.cognition,2.73,1.62,15.0,1,2
atheism,noun.cognition,3.45,2.23,12.69,2,2
disregard,noun.cognition,3.66,1.9,10.35,2,1
cornerstone,noun.cognition,3.39,4.04,11.74,3,1
aesthetics,noun.cognition,3.59,2.22,15.06,2,1
bandwagon,noun.cognition,3.26,3.29,11.05,2,2
projection,noun.cognition,3.79,3.16,10.0,10,1
compound,noun.cognition,4.18,3.03,11.26,3,1
coma,noun.cognition,3.74,3.69,10.83,3,1
neglect,noun.cognition,3.79,2.26,9.84,5,1
precedent,noun.cognition,3.78,1.63,10.53,4,1
science,noun.cognition,5.12,2.79,7.32,2,1
view,noun.cognition,5.19,3.21,5.63,10,1
program,noun.cognition,5.27,3.43,8.2,8,1
method,noun.cognition,4.8,2.41,11.15,2,1
feature,noun.cognition,4.82,2.96,7.0,6,1
powwow,noun.communication,2.27,4.07,9.11,2,2
digression,noun.communication,2.25,1.81,14.89,3,2
ragtime,noun.communication,2.57,3.04,11.94,1,2
earful,noun.communication,2.3,1.96,8.32,2,2
nominative,noun.communication,2.57,1.75,13.8,1,2
orchestration,noun.communication,2.74,2.82,11.89,3,2
reissue,noun.communication,3.01,2.15,12.16,1,2
underline,noun.communication,2.98,3.95,6.67,1,1
overestimate,noun.communication,2.83,1.7,12.53,2,2
recitation,noun.communication,2.9,3.08,13.56,4,2
pedal,noun.communication,3.64,4.44,6.5,2,1
affidavit,noun.communication,3.38,4.0,15.69,1,1
gag,noun.communication,3.63,4.37,7.58,2,1
outcry,noun.communication,3.21,3.23,10.11,1,1
concession,noun.communication,3.57,2.71,9.33,3,1
pact,noun.communication,3.73,2.52,9.37,1,1
keen,noun.communication,4.13,1.61,10.7,1,1
